district_name,division,crop_id,crop_name,crop_category,currently_grown,suitability_score,current_area_hectare,current_production_mt,potential_additional_area_hectare,potential_additional_production_mt,potential_oil_from_additional_mt,required_hub_equipment,priority_level,data_reliability
Dhaka,Dhaka,aman_rice_long,Traditional Aman Rice,cereal,yes,3,35000,98000,5000,14000,0,rice_mill,medium,estimated
Dhaka,Dhaka,boro_rice_regular,Regular Boro Rice,cereal,yes,3,28000,126000,4000,18000,0,rice_mill,medium,estimated
Dhaka,Dhaka,mustard,Mustard/Rapeseed,oilseed,yes,3,8000,9600,12000,14400,5760,oil_mill,medium,estimated
Dhaka,Dhaka,lentil,Lentil,pulse,yes,3,5000,5000,4000,4000,0,dryer,medium,estimated
Dhaka,Dhaka,potato,Potato,tuber,yes,4,12000,264000,5000,110000,0,cold_storage,high,estimated
Faridpur,Dhaka,aman_rice_long,Traditional Aman Rice,cereal,yes,4,55000,154000,6000,16800,0,rice_mill,high,estimated
Faridpur,Dhaka,boro_rice_regular,Regular Boro Rice,cereal,yes,4,42000,189000,5000,22500,0,rice_mill,high,estimated
Faridpur,Dhaka,mustard,Mustard/Rapeseed,oilseed,yes,5,35000,42000,30000,36000,14400,oil_mill,high,estimated
Faridpur,Dhaka,onion,Onion,vegetable,yes,4,12000,126000,8000,84000,0,cold_storage,high,estimated
Faridpur,Dhaka,lentil,Lentil,pulse,yes,4,15000,15000,10000,10000,0,dryer,high,estimated
Faridpur,Dhaka,grass_pea,Grass Pea/Khesari,pulse,yes,4,18000,21600,8000,9600,0,dryer,medium,estimated
Gazipur,Dhaka,aman_rice_long,Traditional Aman Rice,cereal,yes,3,22000,61600,3000,8400,0,rice_mill,medium,estimated
Gazipur,Dhaka,boro_rice_regular,Regular Boro Rice,cereal,yes,3,18000,81000,2000,9000,0,rice_mill,medium,estimated
Gazipur,Dhaka,mustard,Mustard/Rapeseed,oilseed,yes,3,5000,6000,8000,9600,3840,oil_mill,medium,estimated
Gazipur,Dhaka,potato,Potato,tuber,yes,3,6000,132000,3000,66000,0,cold_storage,medium,estimated
Gopalganj,Dhaka,aman_rice_long,Traditional Aman Rice,cereal,yes,4,42000,117600,5000,14000,0,rice_mill,high,estimated
Gopalganj,Dhaka,boro_rice_regular,Regular Boro Rice,cereal,yes,4,35000,157500,4000,18000,0,rice_mill,high,estimated
Gopalganj,Dhaka,mustard,Mustard/Rapeseed,oilseed,yes,4,20000,24000,18000,21600,8640,oil_mill,high,estimated
Gopalganj,Dhaka,lentil,Lentil,pulse,yes,3,8000,8000,5000,5000,0,dryer,medium,estimated
Gopalganj,Dhaka,mung_bean,Mung Bean,pulse,yes,3,6000,6600,4000,4400,0,dryer,medium,estimated
Kishoreganj,Dhaka,aman_rice_long,Traditional Aman Rice,cereal,yes,5,95000,266000,0,0,0,rice_mill,high,actual
Kishoreganj,Dhaka,boro_rice_regular,Regular Boro Rice,cereal,yes,4,65000,292500,0,0,0,rice_mill,high,actual
Kishoreganj,Dhaka,aman_rice_short,Short-duration Aman Rice,cereal,yes,4,25000,80000,15000,48000,0,rice_mill,high,estimated
Kishoreganj,Dhaka,mustard,Mustard/Rapeseed,oilseed,yes,4,18000,21600,20000,24000,9600,oil_mill,high,estimated
Kishoreganj,Dhaka,lentil,Lentil,pulse,yes,3,6000,6000,4000,4000,0,dryer,medium,estimated
Madaripur,Dhaka,aman_rice_long,Traditional Aman Rice,cereal,yes,4,38000,106400,4000,11200,0,rice_mill,high,estimated
Madaripur,Dhaka,boro_rice_regular,Regular Boro Rice,cereal,yes,4,28000,126000,3000,13500,0,rice_mill,high,estimated
Madaripur,Dhaka,mustard,Mustard/Rapeseed,oilseed,yes,4,22000,26400,18000,21600,8640,oil_mill,high,estimated
Madaripur,Dhaka,onion,Onion,vegetable,yes,3,5000,52500,3000,31500,0,cold_storage,medium,estimated
Manikganj,Dhaka,aman_rice_long,Traditional Aman Rice,cereal,yes,4,40000,112000,4000,11200,0,rice_mill,high,estimated
Manikganj,Dhaka,boro_rice_regular,Regular Boro Rice,cereal,yes,4,32000,144000,3000,13500,0,rice_mill,high,estimated
Manikganj,Dhaka,mustard,Mustard/Rapeseed,oilseed,yes,5,30000,36000,25000,30000,12000,oil_mill,high,estimated
Manikganj,Dhaka,onion,Onion,vegetable,yes,4,8000,84000,5000,52500,0,cold_storage,high,estimated
Munshiganj,Dhaka,boro_rice_regular,Regular Boro Rice,cereal,yes,5,45000,202500,3000,13500,0,rice_mill,high,actual
Munshiganj,Dhaka,aman_rice_long,Traditional Aman Rice,cereal,yes,4,30000,84000,2000,5600,0,rice_mill,high,estimated
Munshiganj,Dhaka,potato,Potato,tuber,yes,5,28000,616000,10000,220000,0,cold_storage,high,actual
Munshiganj,Dhaka,mustard,Mustard/Rapeseed,oilseed,yes,4,10000,12000,12000,14400,5760,oil_mill,high,estimated
Narayanganj,Dhaka,aman_rice_long,Traditional Aman Rice,cereal,yes,3,15000,42000,2000,5600,0,rice_mill,medium,estimated
Narayanganj,Dhaka,boro_rice_regular,Regular Boro Rice,cereal,yes,3,12000,54000,1500,6750,0,rice_mill,medium,estimated
Narayanganj,Dhaka,mustard,Mustard/Rapeseed,oilseed,yes,3,4000,4800,5000,6000,2400,oil_mill,medium,estimated
Narsingdi,Dhaka,aman_rice_long,Traditional Aman Rice,cereal,yes,3,20000,56000,3000,8400,0,rice_mill,medium,estimated
Narsingdi,Dhaka,boro_rice_regular,Regular Boro Rice,cereal,yes,3,15000,67500,2000,9000,0,rice_mill,medium,estimated
Narsingdi,Dhaka,mustard,Mustard/Rapeseed,oilseed,yes,3,6000,7200,8000,9600,3840,oil_mill,medium,estimated
Rajbari,Dhaka,aman_rice_long,Traditional Aman Rice,cereal,yes,4,35000,98000,4000,11200,0,rice_mill,high,estimated
Rajbari,Dhaka,boro_rice_regular,Regular Boro Rice,cereal,yes,4,28000,126000,3000,13500,0,rice_mill,high,estimated
Rajbari,Dhaka,mustard,Mustard/Rapeseed,oilseed,yes,5,28000,33600,25000,30000,12000,oil_mill,high,estimated
Rajbari,Dhaka,onion,Onion,vegetable,yes,5,15000,157500,10000,105000,0,cold_storage,high,actual
Rajbari,Dhaka,garlic,Garlic,spice,yes,4,8000,60000,5000,37500,0,cold_storage,high,estimated
Shariatpur,Dhaka,aman_rice_long,Traditional Aman Rice,cereal,yes,4,38000,106400,4000,11200,0,rice_mill,high,estimated
Shariatpur,Dhaka,boro_rice_regular,Regular Boro Rice,cereal,yes,4,28000,126000,3000,13500,0,rice_mill,high,estimated
Shariatpur,Dhaka,mustard,Mustard/Rapeseed,oilseed,yes,4,18000,21600,15000,18000,7200,oil_mill,high,estimated
Tangail,Dhaka,aman_rice_long,Traditional Aman Rice,cereal,yes,4,65000,182000,5000,14000,0,rice_mill,high,estimated
Tangail,Dhaka,boro_rice_regular,Regular Boro Rice,cereal,yes,4,48000,216000,4000,18000,0,rice_mill,high,estimated
Tangail,Dhaka,mustard,Mustard/Rapeseed,oilseed,yes,4,20000,24000,18000,21600,8640,oil_mill,high,estimated
Tangail,Dhaka,sesame,Sesame,oilseed,yes,4,8000,7200,10000,9000,4680,oil_mill,medium,estimated
Tangail,Dhaka,lentil,Lentil,pulse,yes,3,6000,6000,4000,4000,0,dryer,medium,estimated
Bagerhat,Khulna,aman_rice_short,Short-duration Aman Rice,cereal,yes,4,42000,134400,10000,32000,0,rice_mill,high,estimated
Bagerhat,Khulna,boro_rice_regular,Regular Boro Rice,cereal,yes,3,25000,112500,5000,22500,0,rice_mill,medium,estimated
Bagerhat,Khulna,sunflower,Sunflower,oilseed,yes,4,4000,6000,15000,22500,9000,oil_mill,high,estimated
Bagerhat,Khulna,mung_bean,Mung Bean,pulse,yes,4,12000,13200,8000,8800,0,dryer,high,estimated
Bagerhat,Khulna,groundnut,Groundnut/Peanut,oilseed,no,3,0,0,8000,12000,5760,oil_mill,medium,estimated
Chuadanga,Khulna,aman_rice_long,Traditional Aman Rice,cereal,yes,4,32000,89600,4000,11200,0,rice_mill,high,estimated
Chuadanga,Khulna,boro_rice_regular,Regular Boro Rice,cereal,yes,4,25000,112500,3000,13500,0,rice_mill,high,estimated
Chuadanga,Khulna,mustard,Mustard/Rapeseed,oilseed,yes,4,18000,21600,15000,18000,7200,oil_mill,high,estimated
Chuadanga,Khulna,wheat,Wheat,cereal,yes,4,12000,37200,8000,24800,0,flour_mill,high,estimated
Chuadanga,Khulna,onion,Onion,vegetable,yes,3,5000,52500,3000,31500,0,cold_storage,medium,estimated
Jessore,Khulna,aman_rice_long,Traditional Aman Rice,cereal,yes,4,55000,154000,5000,14000,0,rice_mill,high,estimated
Jessore,Khulna,boro_rice_regular,Regular Boro Rice,cereal,yes,4,42000,189000,4000,18000,0,rice_mill,high,estimated
Jessore,Khulna,mustard,Mustard/Rapeseed,oilseed,yes,5,45000,54000,35000,42000,16800,oil_mill,high,actual
Jessore,Khulna,onion,Onion,vegetable,yes,5,18000,189000,10000,105000,0,cold_storage,high,actual
Jessore,Khulna,sesame,Sesame,oilseed,yes,4,10000,9000,12000,10800,5616,oil_mill,high,estimated
Jessore,Khulna,lentil,Lentil,pulse,yes,4,14000,14000,8000,8000,0,dryer,high,actual
Jhenaidah,Khulna,aman_rice_long,Traditional Aman Rice,cereal,yes,4,42000,117600,4000,11200,0,rice_mill,high,estimated
Jhenaidah,Khulna,boro_rice_regular,Regular Boro Rice,cereal,yes,4,32000,144000,3000,13500,0,rice_mill,high,estimated
Jhenaidah,Khulna,mustard,Mustard/Rapeseed,oilseed,yes,5,38000,45600,30000,36000,14400,oil_mill,high,estimated
Jhenaidah,Khulna,wheat,Wheat,cereal,yes,4,10000,31000,6000,18600,0,flour_mill,high,estimated
Jhenaidah,Khulna,onion,Onion,vegetable,yes,4,10000,105000,6000,63000,0,cold_storage,high,estimated
Khulna,Khulna,aman_rice_short,Short-duration Aman Rice,cereal,yes,3,28000,89600,5000,16000,0,rice_mill,medium,estimated
Khulna,Khulna,boro_rice_regular,Regular Boro Rice,cereal,yes,3,18000,81000,3000,13500,0,rice_mill,medium,estimated
Khulna,Khulna,sunflower,Sunflower,oilseed,yes,4,3500,5250,12000,18000,7200,oil_mill,high,estimated
Khulna,Khulna,mung_bean,Mung Bean,pulse,yes,4,10000,11000,6000,6600,0,dryer,high,estimated
Kushtia,Khulna,aman_rice_long,Traditional Aman Rice,cereal,yes,4,38000,106400,4000,11200,0,rice_mill,high,estimated
Kushtia,Khulna,boro_rice_regular,Regular Boro Rice,cereal,yes,4,30000,135000,3000,13500,0,rice_mill,high,estimated
Kushtia,Khulna,mustard,Mustard/Rapeseed,oilseed,yes,5,40000,48000,32000,38400,15360,oil_mill,high,estimated
Kushtia,Khulna,wheat,Wheat,cereal,yes,4,12000,37200,6000,18600,0,flour_mill,high,estimated
Kushtia,Khulna,onion,Onion,vegetable,yes,3,6000,63000,4000,42000,0,cold_storage,medium,estimated
Magura,Khulna,aman_rice_long,Traditional Aman Rice,cereal,yes,4,28000,78400,3000,8400,0,rice_mill,high,estimated
Magura,Khulna,boro_rice_regular,Regular Boro Rice,cereal,yes,4,22000,99000,2500,11250,0,rice_mill,high,estimated
Magura,Khulna,mustard,Mustard/Rapeseed,oilseed,yes,4,20000,24000,16000,19200,7680,oil_mill,high,estimated
Magura,Khulna,sesame,Sesame,oilseed,yes,4,6000,5400,8000,7200,3744,oil_mill,medium,estimated
Meherpur,Khulna,aman_rice_long,Traditional Aman Rice,cereal,yes,4,20000,56000,3000,8400,0,rice_mill,high,estimated
Meherpur,Khulna,boro_rice_regular,Regular Boro Rice,cereal,yes,4,15000,67500,2000,9000,0,rice_mill,high,estimated
Meherpur,Khulna,mustard,Mustard/Rapeseed,oilseed,yes,5,18000,21600,15000,18000,7200,oil_mill,high,estimated
Meherpur,Khulna,wheat,Wheat,cereal,yes,4,8000,24800,5000,15500,0,flour_mill,high,estimated
Narail,Khulna,aman_rice_long,Traditional Aman Rice,cereal,yes,4,28000,78400,3000,8400,0,rice_mill,high,estimated
Narail,Khulna,boro_rice_regular,Regular Boro Rice,cereal,yes,4,22000,99000,2500,11250,0,rice_mill,high,estimated
Narail,Khulna,mustard,Mustard/Rapeseed,oilseed,yes,4,16000,19200,14000,16800,6720,oil_mill,high,estimated
Narail,Khulna,sesame,Sesame,oilseed,yes,3,4000,3600,6000,5400,2808,oil_mill,medium,estimated
Satkhira,Khulna,aman_rice_short,Short-duration Aman Rice,cereal,yes,4,45000,144000,8000,25600,0,rice_mill,high,estimated
Satkhira,Khulna,boro_rice_regular,Regular Boro Rice,cereal,yes,3,20000,90000,4000,18000,0,rice_mill,medium,estimated
Satkhira,Khulna,sunflower,Sunflower,oilseed,yes,5,6000,9000,20000,30000,12000,oil_mill,high,estimated
Satkhira,Khulna,mung_bean,Mung Bean,pulse,yes,4,14000,15400,8000,8800,0,dryer,high,estimated
Satkhira,Khulna,groundnut,Groundnut/Peanut,oilseed,no,3,0,0,8000,12000,5760,oil_mill,medium,estimated
Barguna,Barisal,aman_rice_short,Short-duration Aman Rice,cereal,yes,4,38000,121600,8000,25600,0,rice_mill,high,estimated
Barguna,Barisal,boro_rice_regular,Regular Boro Rice,cereal,yes,3,20000,90000,4000,18000,0,rice_mill,medium,estimated
Barguna,Barisal,sunflower,Sunflower,oilseed,yes,4,3000,4500,12000,18000,7200,oil_mill,high,estimated
Barguna,Barisal,mung_bean,Mung Bean,pulse,yes,4,10000,11000,6000,6600,0,dryer,high,estimated
Barisal,Barisal,aman_rice_short,Short-duration Aman Rice,cereal,yes,4,55000,176000,8000,25600,0,rice_mill,high,estimated
Barisal,Barisal,boro_rice_regular,Regular Boro Rice,cereal,yes,4,35000,157500,5000,22500,0,rice_mill,high,estimated
Barisal,Barisal,mustard,Mustard/Rapeseed,oilseed,yes,4,20000,24000,18000,21600,8640,oil_mill,high,estimated
Barisal,Barisal,mung_bean,Mung Bean,pulse,yes,4,12000,13200,6000,6600,0,dryer,high,estimated
Barisal,Barisal,sunflower,Sunflower,oilseed,no,3,0,0,8000,12000,4800,oil_mill,medium,estimated
Bhola,Barisal,aman_rice_short,Short-duration Aman Rice,cereal,yes,4,55000,176000,10000,32000,0,rice_mill,high,estimated
Bhola,Barisal,boro_rice_regular,Regular Boro Rice,cereal,yes,3,30000,135000,5000,22500,0,rice_mill,medium,estimated
Bhola,Barisal,groundnut,Groundnut/Peanut,oilseed,yes,4,8000,12000,15000,22500,10800,oil_mill,high,estimated
Bhola,Barisal,mung_bean,Mung Bean,pulse,yes,4,15000,16500,8000,8800,0,dryer,high,estimated
Bhola,Barisal,sunflower,Sunflower,oilseed,no,4,0,0,12000,18000,7200,oil_mill,high,estimated
Jhalokati,Barisal,aman_rice_short,Short-duration Aman Rice,cereal,yes,4,22000,70400,4000,12800,0,rice_mill,high,estimated
Jhalokati,Barisal,boro_rice_regular,Regular Boro Rice,cereal,yes,4,15000,67500,3000,13500,0,rice_mill,high,estimated
Jhalokati,Barisal,mustard,Mustard/Rapeseed,oilseed,yes,4,10000,12000,8000,9600,3840,oil_mill,high,estimated
Jhalokati,Barisal,mung_bean,Mung Bean,pulse,yes,3,5000,5500,3000,3300,0,dryer,medium,estimated
Patuakhali,Barisal,aman_rice_short,Short-duration Aman Rice,cereal,yes,5,62000,198400,10000,32000,0,rice_mill,high,estimated
Patuakhali,Barisal,boro_rice_regular,Regular Boro Rice,cereal,yes,4,38000,171000,6000,27000,0,rice_mill,high,estimated
Patuakhali,Barisal,mustard,Mustard/Rapeseed,oilseed,yes,4,18000,21600,15000,18000,7200,oil_mill,high,estimated
Patuakhali,Barisal,sunflower,Sunflower,oilseed,no,4,0,0,15000,22500,9000,oil_mill,high,estimated
Patuakhali,Barisal,mung_bean,Mung Bean,pulse,yes,4,14000,15400,8000,8800,0,dryer,high,estimated
Patuakhali,Barisal,groundnut,Groundnut/Peanut,oilseed,no,3,0,0,10000,15000,7200,oil_mill,medium,estimated
Pirojpur,Barisal,aman_rice_short,Short-duration Aman Rice,cereal,yes,4,32000,102400,5000,16000,0,rice_mill,high,estimated
Pirojpur,Barisal,boro_rice_regular,Regular Boro Rice,cereal,yes,3,20000,90000,3000,13500,0,rice_mill,medium,estimated
Pirojpur,Barisal,mustard,Mustard/Rapeseed,oilseed,yes,4,12000,14400,10000,12000,4800,oil_mill,high,estimated
Pirojpur,Barisal,mung_bean,Mung Bean,pulse,yes,3,6000,6600,4000,4400,0,dryer,medium,estimated
Bandarban,Chattogram,aus_rice,Aus Rice,cereal,yes,4,18000,32400,3000,5400,0,rice_mill,high,estimated
Bandarban,Chattogram,aman_rice_long,Traditional Aman Rice,cereal,yes,4,22000,61600,3000,8400,0,rice_mill,high,estimated
Bandarban,Chattogram,sesame,Sesame,oilseed,yes,4,5000,4500,8000,7200,3744,oil_mill,high,estimated
Bandarban,Chattogram,groundnut,Groundnut/Peanut,oilseed,yes,4,4000,6000,8000,12000,5760,oil_mill,high,estimated
Brahmanbaria,Chattogram,aman_rice_long,Traditional Aman Rice,cereal,yes,4,55000,154000,5000,14000,0,rice_mill,high,estimated
Brahmanbaria,Chattogram,boro_rice_regular,Regular Boro Rice,cereal,yes,4,40000,180000,4000,18000,0,rice_mill,high,estimated
Brahmanbaria,Chattogram,mustard,Mustard/Rapeseed,oilseed,yes,4,15000,18000,15000,18000,7200,oil_mill,high,estimated
Brahmanbaria,Chattogram,lentil,Lentil,pulse,yes,3,6000,6000,4000,4000,0,dryer,medium,estimated
Chandpur,Chattogram,aman_rice_long,Traditional Aman Rice,cereal,yes,4,45000,126000,5000,14000,0,rice_mill,high,estimated
Chandpur,Chattogram,boro_rice_regular,Regular Boro Rice,cereal,yes,4,35000,157500,4000,18000,0,rice_mill,high,estimated
Chandpur,Chattogram,mustard,Mustard/Rapeseed,oilseed,yes,4,16000,19200,14000,16800,6720,oil_mill,high,estimated
Chandpur,Chattogram,lentil,Lentil,pulse,yes,3,6000,6000,4000,4000,0,dryer,medium,estimated
Chattogram,Chattogram,aman_rice_long,Traditional Aman Rice,cereal,yes,3,35000,98000,3000,8400,0,rice_mill,medium,estimated
Chattogram,Chattogram,boro_rice_regular,Regular Boro Rice,cereal,yes,3,25000,112500,2000,9000,0,rice_mill,medium,estimated
Chattogram,Chattogram,aus_rice,Aus Rice,cereal,yes,4,18000,32400,3000,5400,0,rice_mill,high,estimated
Chattogram,Chattogram,soybean,Soybean,oilseed,yes,4,6000,8400,10000,14000,2660,oil_mill,high,estimated
Cox's Bazar,Chattogram,aman_rice_long,Traditional Aman Rice,cereal,yes,3,32000,89600,3000,8400,0,rice_mill,medium,estimated
Cox's Bazar,Chattogram,aus_rice,Aus Rice,cereal,yes,4,15000,27000,3000,5400,0,rice_mill,high,estimated
Cox's Bazar,Chattogram,sesame,Sesame,oilseed,yes,4,5000,4500,8000,7200,3744,oil_mill,high,estimated
Cox's Bazar,Chattogram,groundnut,Groundnut/Peanut,oilseed,yes,3,3500,5250,6000,9000,4320,oil_mill,medium,estimated
Comilla,Chattogram,aman_rice_long,Traditional Aman Rice,cereal,yes,5,95000,266000,5000,14000,0,rice_mill,high,actual
Comilla,Chattogram,boro_rice_regular,Regular Boro Rice,cereal,yes,5,75000,337500,4000,18000,0,rice_mill,high,actual
Comilla,Chattogram,mustard,Mustard/Rapeseed,oilseed,yes,4,22000,26400,20000,24000,9600,oil_mill,high,estimated
Comilla,Chattogram,lentil,Lentil,pulse,yes,4,12000,12000,8000,8000,0,dryer,high,estimated
Comilla,Chattogram,potato,Potato,tuber,yes,4,15000,330000,5000,110000,0,cold_storage,high,estimated
Feni,Chattogram,aman_rice_long,Traditional Aman Rice,cereal,yes,4,30000,84000,3000,8400,0,rice_mill,high,estimated
Feni,Chattogram,boro_rice_regular,Regular Boro Rice,cereal,yes,3,18000,81000,2000,9000,0,rice_mill,medium,estimated
Feni,Chattogram,soybean,Soybean,oilseed,yes,4,5000,7000,8000,11200,2128,oil_mill,high,estimated
Feni,Chattogram,groundnut,Groundnut/Peanut,oilseed,yes,3,2500,3750,5000,7500,3600,oil_mill,medium,estimated
Khagrachhari,Chattogram,aus_rice,Aus Rice,cereal,yes,4,15000,27000,3000,5400,0,rice_mill,high,estimated
